target_id,Pm_1_f,Pm_2_f,Pm_3_m,Pm_4_f
XM_015810584.1,7.34217,0,0,11.7644
XM_015810585.2,0,0,1393.13,0.00893381
XM_015810586.1,2131.66,12,0,17760.8
XM_015810587.2,0,0,1495.87,19.434
XM_015810588.1,1670.77,0,3391.22,23.5893
XM_015810589.1,0,0,0,0
XM_015810590.1,0,523.68,142.761,96.4266
XM_015810591.1,1257,4,4968,11
XM_015810592.1,0,0,0,0
XM_015810593.1,3.08577,7,1154,4
XM_015810594.1,2,2,3857,1
XM_015810595.1,75,11,8371,17
XM_015810596.1,7.88E-06,0,0,0
XM_015810597.1,0,0,0,0
XM_015810598.2,0,0,0,0
XM_015810599.1,2,0,0,0
XM_015810600.1,0,1,6,5
XM_015810601.1,2,0,6252,2
XM_015810602.1,1,0,0,1
XM_015810603.1,0,2,906,0
XM_015810604.1,0,0,0,0
XM_015810605.1,2,0,0,0
XM_015810606.1,2,1,1767,2
XM_015810607.1,1,0,0,57
XM_015810608.2,23,3,3163,6453
XM_015810609.1,0,0,0,0
XM_015810610.1,1,0,1,0
XM_015810611.1,2,4,670,3
XM_015810612.1,0,0,0,1
XM_015810613.1,0,0,0,0
XM_015810614.1,0,0,0,0
XM_015810616.1,0,0,0,0
XM_015810617.1,0,0,0,0
XM_015810618.1,0,0,0,0
XM_015810619.1,0,0,0,0
XM_015810620.1,0,0,0,0
XM_015810621.1,0,0,6,0
XM_015810622.1,0,0,2,0
XM_015810623.1,0,0,0,0
XM_015810624.1,0,0,0,0
XM_015810625.1,0,0,0,0
XM_015810626.1,0,0,0,0
XM_015810629.1,0,0,0,0
XM_015810630.1,1,0,0,0
XM_015810631.1,0.000290203,0.0944712,1376.97,0.000737491
XM_015810632.1,0.99971,5.90553,1543.03,2.99926
XM_015810633.1,19,4,3452,469
XM_015810634.2,0,1,17,0
XM_015810635.1,390,0,1523,3
XM_015810636.1,6.47864,6,4012.2,7618.04
XM_015810637.1,0,0,0,0
XM_015810638.1,0,0,0,0
XM_015810639.2,1,1,31,1
XM_015810640.2,0,1,281,0
XM_015810641.1,0,0,0,0
XM_015810642.1,0,0,0,0
XM_015810643.1,0,4,940,3
XM_015810644.1,0,0,7300.33,0
XM_015810645.1,20.1985,0,22.6684,9
XM_015810646.1,2419.8,2,0,0
XM_015810648.1,2,2,37,2
XM_015810649.1,0,0,0,0
XM_015810651.1,0,4.21E-08,130.862,1455.57
XM_015810652.1,58,11,108.138,16431.4
XM_015810653.1,16387,16,9548,21
XM_015810654.1,0,0,0,0
XM_015810655.1,2,1,11,8234
XM_015810656.1,1,3,4850.97,3
XM_015810658.1,6,0,6284.62,7
XM_015810659.1,0,4,21.3778,0
XM_015810660.1,39.2335,28,55931.2,9094.79
XM_015810662.1,1,1,155,1
XM_015810663.1,3,4,6379,3
XM_015810664.1,0.00084239,0,0,0
XM_015810665.1,0.999158,0,0,0
XM_015810666.1,0,0,0,0
XM_015810667.1,0,0,3,2
XM_015810669.2,0,0,0,0
XM_015810670.1,0,0,0,0
XM_015810671.1,0,0,0,0
XM_015810672.1,0,1,2,0
XM_015810673.1,0,0,0,0
XM_015810674.1,0,1,0,0
XM_015810676.1,0,0,0,0
XM_015810677.1,1,3,893.449,4
XM_015810679.1,0,1,0,0
XM_015810680.1,5,2,2914,7
XM_015810681.2,0,0,0,0
XM_015810682.1,0,0,1,0
XM_015810683.1,3,6,2908,1
XM_015810684.1,0,0,7,0
XM_015810686.1,0,0,0,0
XM_015810688.2,2,1,1,1
XM_015810689.1,0,0,0,0
XM_015810690.1,0,0,0,0
XM_015810691.1,0,0,0,0
XM_015810692.1,0,0,0,0
XM_015810693.1,2,0.5,1774.14,2
XM_015810694.1,0,0,0,0
XM_015810696.2,0,0,0,0
XM_015810697.1,5.19166,3.3791,3342.3,2303.3
XM_015810698.1,2.62307,0,25.5756,0
XM_015810699.1,0,0,2299,1338
XM_015810700.1,0,0,0,0
XM_015810702.1,2,2,4,1
XM_015810703.1,0,0,0,1
XM_015810704.1,2,0,531,0
XM_015810705.1,10,11,9778,19
XM_015810706.1,2,5,6760,275
XM_015810708.1,0,0,0,0
XM_015810709.1,2,2,3714,1
XM_015810710.1,0,0,0,0
XM_015810711.1,10,3,17,8662
XM_015810712.1,7,8,6312,25447
XM_015810713.2,7948,13,12802,4848
XM_015810714.1,0,0,0,0
XM_015810715.2,13315,40,52135,39444
XM_015810717.1,1,2,9,7552
XM_015810718.1,0,1,746,1
XM_015810719.1,4,5,8516,12
XM_015810720.1,13554,25.3342,17914.4,16301.1
XM_015810721.1,0,8.66579,3493.11,17195.8
XM_015810722.1,0,0,3905.49,10.1415
XM_015810723.1,2,0,471,2
XM_015810724.1,0,0,0,0
XM_015810725.1,0,0,1,0
XM_015810726.1,0,0,1,0
XM_015810727.1,1,0,3219,0
XM_015810728.1,109,0,348,2
XM_015810730.2,0,0,1681,0
XM_015810731.1,1766.73,46.2635,9157.67,5422.57
XM_015810732.1,0,1,803,0
XM_015810733.1,0,0,0,0
XM_015810734.1,0,0,0,0
XM_015810735.2,0,0,0,0
XM_015810736.1,1,1,1452,2
XM_015810737.2,1,1,2,1
XM_015810738.2,0,0,0,1
XM_015810739.2,1,3,5,0
XM_015810740.1,0,0,0,0
XM_015810741.1,0,0,159,0
XM_015810742.1,4,0,2442,4
XM_015810743.1,0,0,2,0
XM_015810744.1,1,0,65,0
XM_015810745.1,0,2,3,4
XM_015810746.1,0,0,3,2
XM_015810748.1,0,1,3,0
XM_015810749.2,0,0,0,0
XM_015810751.2,0,0,0,0
XM_015810753.2,1,0,4,3
XM_015810755.2,0,0,0,0
XM_015810756.1,273,2,255.255,4797.62
XM_015810757.1,0,0,0,0
XM_015810759.1,0,0,0,0
XM_015810761.1,0,0,0,0
XM_015810763.1,2,0.5,9.85635,2
XM_015810764.1,0,0,0,1.00838
XM_015810765.1,2,0,2297,0
XM_015810767.1,0,0,0,0
XM_015810768.1,1,1,0,1
XM_015810769.1,0,0,0,0
XM_015810770.1,0,0,0,0
XM_015810771.2,7043,2,9168,7
XM_015810772.2,0,0,0,3
